Abbreviation,Meaning
PER,Pronation External Rotation
PFA,Platelet Function Assay
PFO,Patent Foramen Ovale
PFT,Pulmonary Function Test
PG,Prostaglandin
PGE2,Prostaglandin E2
PGF,Paternal Grandfather
PGM,Paternal Grandmother
PHI,Protected Health Information
PHP,Pseudohypoparathyroidism
PHQ-9,Patient Health Questionnaire-9 (Depression)
PICO,"Patient/Population, Intervention, Control, Outcome"
PID,Pelvic Inflammatory Disease
PIP,Proximal Interphalangeal
PITFL,Posterior Inferior Tibiofibular Ligament
PIV,Peripheral IV
PKA,Protein Kinase A
PKC,Protein Kinase C
PKG,Protein Kinase G
PLA2,Phospholipase A2
PLC,Phospholipase C
PLEX,PLasma EXchange
PMA,Post-Menstrual Age
PMC,Pontine Micturition Center
PMD,Primary Medical Doctor
PMDD,Premenstrual Dysphoric Disorder
PMH,Past Medical History
PMHx,Past Medical History
PMI,Point of Maximum Impulse
PML,Progressive Multifocal Leukoencephalopathy
PNA,Pneumonia
PND,Paroxysmal Nocturnal Dyspnea
PNDM,Permanent Neonatal Diabetes Mellitus
PNES,Psychogenic Non-Epileptic Seizures (functional seizures)
PNMT,phenylethanolamine N-methyltransferase
PNS,Peripheral Nervous System
PNV,Pre-Natal Vitamin
po,Per Oral (by mouth)
POAL,Per Os Ad Libitum (oral intake as desired)
POCUS,Point Of Care UltraSound
POE,Patient Oriented Evidence/outcome
POMC,Pro-opiomelanocortin
PPAR-γ,Peroxisome Proliferator-Activated Receptor-Gamma
PPD,Pack Per Day (cigarettes)
PPD,Postpartum Depression
PPD,Purified Protein Derivative
PPE,Personal Protective Equipment
PPI,Proton-Pump Inhibitor
PPN,Peripheral Parenteral Nutrition
PPQRST,"Provocative factors, Palliative factors, Quality, Radiation, Severity, Timing"
PR3,Proteinase 3
PRES,Posterior Reversible Encephalopathy Syndrome
PRG,Posterior Root Ganglion
PRIME-MD,Primary Care Evaluation of Mental Disorders
PrIS,Propofol Infusion Syndrome
PRL,Prolactin
prn,Pro Re Nata (as needed)
pRBC,Packed Red Blood Cells
PROS,Psychiatric Review of Symptoms
PRP,Penicillinase-Resistant Penicillin
PRR,Pattern Recognition Receptors
PSG,Polysomnography
PSH,Past Surgical History
PSP,Penicillinase-Sensitive Penicillin
PTA,Prior to Admission
PTA,Prior To Arrival
PTD,Prior To Discharge
PTFL,Posterior Tibiofibular Ligament
PTH,Parathyroid Hormone
PTLD,Post Transplant Lymphoproliferative Disease
PTPN22,Protein Tyrosine Phosphatase Non-receptor type 22
PTSD,Post-Traumatic Stress Disorder
PTT,Partial Thromboplastin Time
PUD,Peptic Ulcer Disease
PVB,Premature Ventricular Beats
PVC,Premature Ventricular Contractions
PVL,PeriVentricular Leukomalacia
PVR,Post-Void Residual volume
PVT,Polymorphic Ventricular Tachycardia
PWS,Prader-Willi Syndrome
Px,Patient
PZ,Peripheral Zone
q12,every 12 hours
qid,Quater In Die (4 times per day)
qod,Quaque Altera Die (every other day)
RA,Rheumatoid Arthritis
RA,Right Atrium
RAAS,Renin-Angiotensin-Aldosterone System
RAG,Recombinase Activating Gene
RAGE,Receptor for Advanced Glycation End product
RANK,Receptor Activator of NF-κB
RANKL,Receptor Activator of NF-κB Ligand
rAPD,relative Afferent Pupillary Defect
RASS,Richmond Agitation-Sedation Scale
RBC,Red Blood Cell
RBC,Red Blood Cell Count
RBF,Renal Blood Flow
RBILD,Respiratory Bronchiolitis-associated Interstitial Lung Disease
RCA,Root Cause Analysis
RCM,Restrictive Cardiomyopathy
RCM,Right Costal Margin
RCT,Randomized Controlled Trial
RDS,Respiratroy Distress Syndrome
RDW,Red Cell Distribution Width
RDW,Risk Difference
REMS,Risk Evaluation and Mitigation Strategy
RER,Rough Endoplasmic Reticulum
Retic.,Reticulocyte Count
RF,Renal Failure
RF,Rheumatoid Factor
RLD,Restrictive Lung Diseases
RMP,Resting Membrane Potential
RNA,Ribonucleic Acid
ROHHAD,"Rapid-onset Obesity with Hypothalamic dysregulation, Hypoventilation, and Autonomic Dysregulation"
ROM,Range of Motion
ROM,Rupture of Membrane
ROS,Reactive Oxygen Species
ROS,Review of Systems
RR,Respiration Rate
RRB,Restricted and Repetitive Behavior
RRO,RANKL/RANK/OPG
RRR,Regular Rate and Rhythm (heart rate)
RRT,Registered Respiratory Therapist
RST,Rapid Strep Test
RTA,Ready To Admit
RTA,Renal Tubular Acidosis
RTC,Return To Clinic
RTF,Ready-To-Feed
RV,Residual Volume
RV,Respiratory Volume
RV,Right Ventricle
RVOT,Right Ventricle Outflow Tract
RVP,Respiratory Viral Panel
RVR,Rapid Ventricular Rate
Rx,Prescription
S1-S5,Sacral vertebrae 1-5
SA node,Sinoatrial node
SAD,Seasonal Affective Disorder
SAD,Supination Adduction
SAFE-T,Suicide Assessment Five-step Evaluation and Triage
SAK,Sexual Assault Kit
SAMPLE,"Signs/Symptoms, Allergies, Medications, Past medical history, Last oral intake, Events leading to the present illness/injury"
SANE,Sexual Assault Nurse Examiner
SAP,Superior Articular Process
SBAR,Situation Background Assessment Recommendation
SBI,Serious Bacterial Infection
SBP,Systolic Blood Pressure
SCD,Sudden Cardiac Death
SCFE,Slipped Capital Femoral Epiphysis
SCID,Severe Combined Immunodeficiency
SCOFF,"Sick, Control, One, Fat, Food"
SCT,Stem Cell Transplant
SEMLS,Single Event MuliLevel Surgery
SER,Supination External Rotation
SERCA,Sarcoplasmic-Endoplasmic Reticulum Ca-ATPase
SERT,Serotonin Transporter
sEVS,Spontaneous Episodic Vestibular Syndrome
SG,Specific Gravity
SGA,Small for Gestational Age
SGLT,Sodium-Glucose Linked Transporter
SH,Social History
SHOX,Short Stature Homeobox
SHx,Social History
SIADH,Syndrome of Inappropriate AntiDiuretic Hormone secretion
SIB,Self-Injurous Behavior
SIBO,Small Intestinal Bacterial Overgrowth
SIG E CAPS,"Sleep, Interest, Guilt, Energy, Concentration, Appetite, Psychomotor, Suicide"
SLAP,Superior Labrum Anterior to Posterior
SLE,Systemic Lupus Erythematosus
SLL,Small Lymphocytic Lymphoma
SLK,Simultaneous Liver Kidney
SLUDGE,"Salivation, Lacrimation, Urination, Diarrhea, Gastrointestinal distress, and Emesis"
SMA,Spinal Muscular Atrophy
SMA,Superior Mesenteric Artery
SMART,Single Maintenance And Reliever Therapy (for asthma)
SML,Splenic Marginal Zone Lymphoma
SMO,Supra Malleolar Orthosis
SMOF,"Soybean oil, Medium-chain triglycerides, Olive oil and Fish oil"
SMOG,"Saline, Mineral Oil, Glycerin (enema)"
SMR,Sexual Maturity Rating
SMR,Spinal Motion Restriction
SMV,Superior Mesenteric Vein
Sn,Sensitivity
SNF,Skilled Nursing Facility
SNHL,SensoriNeural Hearing Loss
SNRI,Selective Norepinephrine Reuptake Inhibitor
SNS,Somatic Nervous System
SNS,Sympathetic Nervous System
SOAP,"Subjective, Objective, Assessment, Plan"
SORA,Stable On Room Air
SOT,Solid Organ Transplant
Sp,Specificity
SPEP,Serum Protein Electrophoresis
SPLATT,Split Tibialis Anterior Tendon Transfer
SPOTT,Split POsterior Tibial Tendon transfer
SR,Sarcoplasmic Reticulum
SROM,Spontaneous Rupture of Membrane
SSC,Similac Special Care
SSE,Simple Stratified Epithelium
SSRI,Selective Serotonin Reuptake Inhibitor
SSS,Subclavian Steal Syndrome
SSSS,Staphylococcal Scalded Skin Syndrome
SSTI,Skin and Soft Tissue Infection
SSYCE,"Salmonella, Shigella, Yersinia, Campylobacter, and Escherichia coli"
ST,Speech Therapy
STBUR,"Snoring, Trouble Breathing, and Un-Refreshed"
STEC,Shiga toxin producing Escherichia coli
STEMI,ST Elevation Myocardial Infarction
STG,Short-Term Goal
STI,Sexually Transmitted Infection
STIR,Short-TI Inversion Recovery (MRI)
SubQ,Subcutaneous
SUD,Substance Use Disorder
SUDEP,Sudden Unexplained Death in EPilepsy
SUDs,Subjective Units of Distress Scale
SUX,Succinylcholine
SV,Stroke Volume
SVC,Slow Vital Capacity
SVC,Superior Vena Cava
SVD,Spontaneous Vaginal Delivery
SVR,Systemic Vascular Resistance
SVT,Supraventricular Tachycardia
SVW,Singh-Vaughan-Williams
sz,seizure
t/c,to consider
T1-T12,Thoracic vertebrae 1-12
T1D,Type 1 Diabetes
T1DM,Type 1 Diabetes Mellitus
T2D,Type 2 Diabetes
T2DM,Type 2 Diabetes Mellitus
T3,triiodothyronine
T4,tetraiodothyronine (thyroxine)
TAG,Triacylglycerol
TAPVR,Total Anomalous Pulmonary Venous Return
TB,Tuberculosis
TBG,Thyroid Binding Globulin
TBI,Traumatic Brain Injury
tbw,touch base with
TCA,Tricarboxylic Acid
TCA,Tricyclic Antidepressant
TCT,Thrombin Clotting Time
Tdt,Terminal deoxynucleotidyl transferase
TEE,Transesophageal Echo
TEM,Transmission Electron Microscopy 
TEN,Titanium Elastic Nail
TEN-4-FACESp,"Torso, Ears, Neck, Frenulum, Angle of the jaw, Cheeks, Eyelids or Subconjunctivae, “4” represents infants 4 months and younger with any bruise, anywhere, and “p” represents the presence of patterned bruising (acronym for remembering bruising patterns more likely related to non-accidental trauma)"
TER,Treatment Event Rate
tEVS,Triggered Episodic Vestibular Syndrome
TFG,Total Fluid Goal
TFI,Total Fluid Intake
TG,Triglyceride
TGF,Transforming Growth Factor
TIBC,Total Iron Binding Capacity
TK,Tachykinin
TKO,To Keep Open
TLC,Total Lung Capacity
TLS,Tumor Lysis Syndrome
TLSO,Thoracic-Lumbar-Sacral Orthosis
TMS,Transcranial Magnetic Stimulation
TNA,Tonsillectomy + Adenoidectomy
TNAP,Tissue Nonspecific Alkaline Phosphatase
TNDM,Transient Neonatal Diabetes Mellitus
TOA,Tubo-Ovarian Abscess
TORCH,"Toxoplasma, Other pathogens, Rubella, Cytomegalovirus, Herpes simplex virus"
TP,Threshold Potential
TPN,Total Parenteral Nutrition
TPO,Thyroid Peroxidase
TPR,Total Peripheral Resistance
TSB,Total Serum Bilirubin
TSF,Triceps Skin Fold
TSH,Thyroid Stimulating Hormone
TT,Thrombin Time
TTE,Transthoracic Echo
TTG,Tissue Transglutaminase
TTP,Tender To Palpation
TTP,Thrombotic Thrombocytopenic Purpura
TUG,Timed Get Up & Go Test
TURP,Transurethral Resection of the Prostate
Tx,Treatment
TZ,Transitional Zone
UA,Urinalysis
UDS,Urine Drug Screening
UFH,UnFractionated Heparin
UIP,Usual Interstitial Pneumonia
ULN,Upper Limit of Normal
UPD,Uniparental Disomy
UPEP,Urine Protein Electrophoresis
UPJ,UreteroPelvic Junction
UTA,Unable To Assess
UTD,Up To Date
UTI,Urinary Tract Infection
V/Q,alveolar Ventilation/perfusion
VA,VentriculoAtrial (shunt)
VAC,"Vincristine, dActinomycin, Cyclophosphamide"
VAERS,Vaccine Adverse Event Reporting System
VAP,Ventilator-Associated Pneumonia
VAS,Visual Analogue Scale
VATS,Video-Assisted ThoracoScopy
VBG,Venous Blood Gas
VC,Vital Capacity
VCUG,Vesicourethrogram
VDRL,Venereal Disease Research Laboratory
vEDS,vascular Ehlers-Danlos Syndrome (aka EDS Type IV)
VEGF,Vascular Endothelial Growth Factor
VEP,Visual Evoked Potential
VEPTR,Vertical Expandable Prosthetic Titanium Rib
VF,Ventricular Fibrillation
VFC,Vaccines for Children
VFib,Ventricular Fibrillation
VFSS,Video Fluoroscopic Swallow Study
VHD,Valvular Heart Disease
VIP,Vasoactive Intestinal Peptide
VLDL,Very-Low-Density Lipoprotein
VMAT,Vesicular Monoamine Transporter
VNS,Vagus Nerve Stimulator
VOR,Vestibuloocular Reflex
VP,VenticuloPeritoneal (shunt)
VPL,Ventral Posterolateral
VRE,Vancomycin Resistant Enterococcus
VSD,Ventricular Septal Defect
VSR,Vestibulospinal Reflex
VT,Ventricular Tachycardia
VTA,Ventral Tegmental Area
VTE,Venous Thromboembolism
WAT,Wean As Tolerated
WAT,Withdrawal Assessment Tool
WBC,White Blood Cell Count
WC,WheelChair
WES,Whole Exome Sequencing
WGS,Whole Genome Sequencing
WHO,Wrist Hand Orthosis
WN/WD,Well Nourished/Well Developed
WNL,Within Normal Limits
WPW,Wolff-Parkinson-White
XR,Extended Release
XR,X-Ray
XT,Exotropia
